1	Ala Vaikuntapuram Lo	assets\\images\\Albums\\ala vaikuntapuramlo.jpeg
2	Maara	assets\\images\\Albums\\maara.jpg
3	Rab Ne Bana Di Jodi	assets\\images\\Albums\\rab ne bana di jodi.jpg
4	Ishq	assets\\images\\Albums\\ishq malayalam.jpg
5	Dia	assets\\images\\Albums\\Dia kannada.jpg
6	Evolve	assets\\images\\Albums\\evolve imagine dragons.jpg
7	Mahanati	assets\\images\\Albums\\mahanati.jpg
8	The Twilight Saga: Breaking Dawn – Part 1	assets\\images\\Albums\\twilight.jpg
9	Aashique	assets\\images\\Albums\\aashiqui 2.jpg
10	Geetha Govindham	assets\\images\\Albums\\geetha govindham.jpg
11	Girl On Fire	assets\\images\\Albums\\girl on fire.png
12	Nenu Local	assets\\images\\Albums\\nenu local.jpg
13	Kanaa	assets\\images\\Albums\\kanaa.jpg
\.


